Country Name,Current health expenditure per capita (current US$),"Death rate, crude (per 1,000 people)",GDP per capita (constant 2015 US$),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Net migration,Poverty headcount ratio at national poverty line (% of population),"Unemployment, total (% of total labor force)",Population,Density (P/Km²),Confirmed,Deaths,Recovered,Active
Brazil,850.43286133,6.572,8592.21120694388,75.338,,69186,,11.936,212559417.0,25.0,877703267.0,26672320.0,742772758.0,105752008.0
British Virgin Islands,,6.156,,75.863,,253,,,30231.0,202.0,0.0,0.0,0.0,0.0
Brunei,674.65161133,4.834,30313.4138627573,74.748,,-587,,6.6,437479.0,83.0,40792.0,688.0,37240.0,2864.0
Bulgaria,698,15.5,8237.92678290482,75.1121951219512,,-11439,23.8,4.23,6948445.0,64.0,11041180.0,345633.0,5079987.0,5615560.0
Burkina Faso,41.07073212,8.75,717.374533770247,60.039,29.6632804870605,-25277,,4.701,20903273.0,76.0,481139.0,15257.0,376789.0,89093.0
Burundi,22.95755196,7.352,270.137277399698,62.351,,14241,,1.053,11890784.0,463.0,97394.0,273.0,81358.0,15724.0
Cabo Verde,171.77171326,5.162,3667.0573646025,76.004,,-1296,,12.118,555987.0,138.0,1206498.0,12273.0,1055177.0,139048.0
Cambodia,114.48534393,5.947,1465.96953537797,70.692,,-55607,,0.12,16718965.0,95.0,62569.0,0.0,56901.0,5663.0
Cameroon,56.18640518,8.16,1454.56406902089,61.584,,-12254,,3.646,26545863.0,56.0,4171690.0,87522.0,3671452.0,412716.0
Canada,5115.97607422,7.6,45100.2914903262,82.2239024390244,,391914,,5.69,37742154.0,4.0,47837905.0,2331636.0,37612502.0,7877355.0
Cayman Islands,,3.7,82170.5930267913,,,973,,,65722.0,274.0,0.0,0.0,0.0,0.0
Central African Republic,33.9444313,10.873,381.414046354948,55.025,,-36942,,5.978,4829767.0,8.0,940671.0,11547.0,329524.0,599600.0
Chad,31.30481529,12.369,652.703215971488,53.259,,-9469,,1.081,16425864.0,13.0,274619.0,19392.0,233034.0,22193.0
Channel Islands,,8.54731125671448,,81.39,,1566,,6.17,173863.0,915.0,0.0,0.0,0.0,0.0
Chile,1369.48400879,6.346,13743.8930417408,80.326,,230162,,7.533,19116201.0,26.0,90361143.0,2368761.0,83203984.0,4788333.0
China,539.6194458,7.09,10155.5108830542,77.968,,-302609,0.6,4.56,1439323776.0,153.0,27175714.0,1385226.0,24035577.0,1742081.0
Colombia,500.73138428,5.411,6404.10876497266,76.752,95.249267578125,395803,35.7,10.28,50882891.0,46.0,152984623.0,4518490.0,128950513.0,19428688.0
Comoros,77.80075073,8.203,1381.62223950494,64.068,,-2917,,5.1,869601.0,467.0,95927.0,1422.0,86813.0,7692.0
Congo (Kinshasa),19.85771751,9.38,494.81924776865,60.276,,-144916,,4.642,89561403.0,40.0,2206465.0,57870.0,1746170.0,402425.0
Congo (Brazzaville),58.90272522,7.388,1901.05599305146,62.747,,-6271,,20.608,5518087.0,16.0,882778.0,16224.0,581719.0,284866.0
Costa Rica,914.88470459,5.468,12662.4228535715,79.427,,4154,23.9,10.807,5094118.0,100.0,14337806.0,172649.0,8701462.0,5463695.0
Cote d'Ivoire,73.64801788,8.728,2256.83795553384,59.319,89.8934173583984,-15520,,2.401,26378274.0,83.0,0.0,0.0,0.0,0.0
Croatia,1040,12.7,14321.3344788474,78.4243902439025,,-12480,18.3,6.617,4105267.0,73.0,9881857.0,156199.0,8250046.0,1475612.0
Cuba,1013.10137939,9.861,8043.01419726511,77.611,,-13686,,1.2,11326616.0,106.0,1186778.0,26328.0,1034192.0,126258.0
Curacao,,8.8,17980.5298177114,,,-9592,,,164093.0,370.0,0.0,0.0,0.0,0.0
Cyprus,2093,6.769,28362.083984375,81.397,,4948,14.3,7.155,1207359.0,131.0,1001477.0,7755.0,301790.0,691932.0
Czechia,1803.05249023,10.5,20206.4256384905,79.2292682926829,,4030,9.5,2.015,10708981.0,139.0,40817981.0,599382.0,29962980.0,10255619.0
Denmark,6059,9.3,57203.0277943447,81.4512195121951,,23305,12.1,5.018,5792202.0,137.0,9246883.0,174973.0,7128901.0,1943009.0
Djibouti,62.30675125,8.421,2820.06286565541,63.085,,1322,,26.246,988000.0,43.0,1185142.0,12337.0,1087173.0,85632.0
Dominica,442.51159668,8.369,7936.3048182003,73.559,,326,,,71986.0,96.0,9141.0,0.0,7418.0,1723.0
Dominican Republic,346.50790405,6.006,8205.14259161047,73.577,,-29830,21,6.356,10847910.0,225.0,20856015.0,374344.0,15203902.0,5277769.0
Ecuador,484.36807251,4.913,5970.1089450969,77.297,,71801,25,3.812,17643054.0,71.0,27877424.0,2034731.0,21387209.0,4455484.0
Egypt,145.31028748,5.581,3769.03576992117,71.358,,-59715,29.7,7.851,102334404.0,103.0,20706457.0,1120542.0,14866908.0,4719007.0
El Salvador,377.02557373,7.451,4104.91789162688,72.559,89.1379165649414,-55143,,4.17,6486205.0,313.0,5317624.0,150776.0,4141194.0,1035341.0
Equatorial Guinea,231.83953857,8.582,6472.07088263695,61.644,,14695,,8.367,1402985.0,50.0,924955.0,15051.0,707006.0,202898.0
Eritrea,25.98394394,6.309,,67.3,,-29849,,5.789,3546421.0,35.0,85251.0,10.0,65761.0,19513.0
Estonia,1599.3503418,11.6,20327.0158660721,78.6463414634147,,5410,20.7,4.514,1326535.0,31.0,1349513.0,20641.0,901295.0,427577.0
Eswatini,274.94509888,8.923,3766.06299935158,60.549,,-9796,,29.049,1160164.0,67.0,916582.0,17307.0,765593.0,133682.0
Ethiopia,26.22917175,6.439,785.48497203795,65.838,,-10803,,2.945,114963588.0,115.0,12642131.0,197303.0,7393080.0,5051748.0
Faroe Islands,,8,56099.9689639995,82.6463414634146,,580,,,48863.0,35.0,0.0,0.0,0.0,0.0
Fiji,253.74330139,7.941,5679.05182722096,67.893,,-11865,24.1,4.38,896445.0,49.0,7558.0,275.0,6027.0,1256.0
Finland,4460,9.8,46135.8814242631,81.9829268292683,,15558,12.2,6.695,5540720.0,18.0,3195482.0,87901.0,2390122.0,717456.0
France,4504.48486328,9.1,38832.0242014303,82.8268292682927,,17403,13.8,8.415,65273511.0,119.0,206540911.0,9180615.0,26113135.0,171230021.0
French Polynesia,,3.391,19856.2590590838,82.996,,-861,,11.536,280908.0,77.0,0.0,0.0,0.0,0.0
Gabon,208.28834534,6.856,6893.32310548088,66.603,,2230,,20.426,2225734.0,9.0,1684824.0,11086.0,1383102.0,290636.0
Gambia,22.83255005,6.999,668.63512259134,63.755,,-4186,,4.532,2416668.0,239.0,496018.0,15905.0,359668.0,120445.0
Georgia,309,12.88,4975.81148194814,73.47,,-5414,19.5,11.565,3989167.0,57.0,9263035.0,88694.0,7554433.0,1619908.0
Germany,5486.98876953,11.3,43292.6838917385,81.2926829268293,,360560,16.1,3.136,83783942.0,240.0,116536543.0,2908776.0,88516760.0,25110586.0
Ghana,93.18772125,7.143,1981.61375988962,64.74,,-21860,,3.156,31072940.0,137.0,8533653.0,52205.0,7886023.0,595425.0
Gibraltar,,8.283,,82.363,,-58,,,33691.0,3369.0,0.0,0.0,0.0,0.0
Greece,1569.02905273,11.7,19017.9964295438,81.6390243902439,,-21581,17.7,17.045,10423054.0,81.0,7935889.0,207554.0,2252712.0,5475623.0
Greenland,,9.8,48170.7896955512,71.9443902439024,,-338,,,56770.0,0.0,3.0,0.0,0.0,3.0
Grenada,487.60290527,8.008,9247.89838199082,74.863,,-190,,,112523.0,331.0,8234.0,0.0,6465.0,1769.0
Guam,,6.304,35341.4051332021,77.717,,-1852,,5.402,168775.0,313.0,0.0,0.0,0.0,0.0
Guatemala,278.54898071,4.892,4263.70844366435,73.129,,-58095,,2.193,17915568.0,167.0,16257990.0,578317.0,13650653.0,2029020.0
Guinea,42.68258667,9.712,937.703131488194,59.72,,-3243,,5.018,13132795.0,53.0,2114447.0,12704.0,1839759.0,261984.0
Guinea-Bissau,54.0177002,8.206,699.768327216702,60.882,,-1395,,3.219,1968001.0,70.0,480179.0,7301.0,286492.0,186386.0
Guyana,317.6022644,7.444,6348.68368035127,69.124,,-24678,,13.525,786552.0,4.0,542748.0,16211.0,407501.0,119036.0
Haiti,49.08563995,7.953,1387.51490382752,64.255,,-34635,,14.133,11402528.0,414.0,1686792.0,40426.0,1149948.0,496418.0
Honduras,184.03918457,4.315,2443.88171835938,72.881,88.5074310302734,-6550,48,5.551,9904607.0,89.0,14207750.0,406382.0,4957332.0,8844036.0
